HKL Value		Reward			TotalReward	Chi Squared Value	Z Coordinate Approximation		dx
0 6 12			0			0		0		0.3		0		0.3425
7 1 5			0			0		0		0.3		0		1.5264
1 7 3			0			0		0		0.3		0		0.9932
3 3 1			0			0		0		0.3		0		0.5106
5 3 7			0			0		0		0.3		0		0.2523
5 3 1			0			0		0		0.3		0		0.5252
2 6 6			0			0		0		0.3		0		5.383
9 1 1			0			0		466.574857615		0.3		466.574857615		0.8793
5 1 3			100.83294792			100.83294792		264.908961776		0.3		529.817923551		0.9592
1 5 13			43.0277384323			143.860686352		178.853484911		0.3		536.560454733		1.1973
2 0 8			22.3032580628			166.163944415		134.246968785		0.3		536.987875142		0.1665
0 6 4			10.5840199557			176.747964371		113.078928874		0.3		565.39464437		0.6675
4 0 8			-12.7439853705			164.003979		125.822914245		0.3		754.937485468		2.9483
0 0 8			-2.03300406041			161.97097494		127.855918305		0.3		894.991428135		2.1948
0 2 16			7.51961134797			169.490586288		112.816695609		0.3		902.533564873		1.8687
6 0 4			4.70198177492			174.192568063		103.412732059		0.3		930.714588533		0.7069
2 0 4			1.17166609814			175.364234161		101.069399863		0.3		1010.69399863		1.3874
0 0 4			2.74702635737			178.111260518		95.5753471482		0.3		1051.32881863		0.8482
4 6 2			3.88114520518			181.992405723		87.8130567379		0.3		1053.75668085		0.2349
5 1 13			3.15011482104			185.142520544		81.5128270958		0.3		1059.66675225		0.4567
3 3 15			2.85750509478			188.000025639		75.7978169062		0.3		1061.16943669		0.3402
4 4 10			1.46218633369			189.462211973		72.8734442388		0.3		1093.10166358		0.6886
6 2 2			-1.73205867936			187.730153293		74.6055029182		0.3		1193.68804669		3.3001
3 1 9			2.06759019514			189.797743489		70.4703225279		0.3		1197.99548297		0.36
0 2 20			1.93007295956			191.727816448		66.6101766088		0.3		1198.98317896		0.4494
3 3 13			1.63404422484			193.361860673		63.3420881591		0.3		1203.49967502		0.5636
0 6 14			1.16145602807			194.523316701		61.019176103		0.3		1220.38352206		0.9096
6 0 12			1.44815109512			195.971467796		58.1228739127		0.3		1220.58035217		0.5892
0 2 0			-3.47805376835			192.493414028		61.6009276811		0.3		1355.22040898		1.4407
2 4 2			1.18350701237			193.67692104		59.2339136563		0.3		1362.3800141		0.3828
3 1 7			1.18801749131			194.864938531		56.8578786737		0.3		1364.58908817		0.257
2 2 2			-1.44255171701			193.422386814		58.3004303907		0.3		1457.51075977		1.1162
3 1 3			0.214226384493			193.636613199		57.8719776217		0.3		1504.67141817		1.2003
1 1 15			0.84647496563			194.483088165		56.1790276905		0.3		1516.83374764		0.656
4 0 0			-21.0323964273			173.450691737		77.2114241177		0.3		2161.9198753		8.3901
1 1 11			-7.70669585629			165.743995881		84.918119974		0.3		2462.62547925		2.144
6 0 6			0.978919298534			166.72291518		82.960281377		0.3		2488.80844131		1.0815
5 1 5			-0.362002770663			166.360912409		83.3222841476		0.3		2582.99080858		1.1901
7 1 7			1.26870816042			167.629620569		80.7848678268		0.3		2585.11577046		0.3505
0 4 16			0.186069210421			167.81568978		80.4127294059		0.3		2653.6200704		1.5557
5 3 11			-2.23784391368			165.577845866		82.6505733196		0.3		2810.11949287		1.8677
3 7 3			0.462196013495			166.04004188		81.7261812926		0.3		2860.41634524		0.8954
2 2 12			-2.16686296784			163.873178912		83.8930442605		0.3		3020.14959338		1.9766
0 0 18			0.800019614335			164.673198526		82.2930050318		0.3		3044.84118618		0.6609
3 5 1			0.816789605699			165.489988132		80.6594258204		0.3		3065.05818118		0.5283
1 3 7			1.00483256543			166.494820697		78.6497606895		0.3		3067.34066689		0.1893
4 2 4			0.425467339715			166.920288037		77.7988260101		0.3		3111.9530404		0.7624
1 1 5			-2.78912684347			164.131161193		80.5879528536		0.3		3304.106067		1.9661
2 6 10			0.60567291991			164.736834113		79.3766070138		0.3		3333.81749458		0.7069
2 2 4			0.320244739937			165.057078853		78.7361175339		0.3		3385.65305396		0.7551
7 3 3			0.341473875416			165.398552729		78.0531697831		0.3		3434.33947045		1.9283
2 2 10			0.535646856427			165.934199585		76.9818760702		0.3		3464.18442316		0.6429
1 1 1			0.414534954044			166.348734539		76.1528061621		0.3		3503.02908346		0.5749
2 4 0			0.136591623044			166.485326162		75.879622916		0.3		3566.34227705		1.4359
0 0 6			-10.4778677323			156.00745843		86.3574906483		0.3		4145.15955112		7.4326
1 7 7			0.853425443438			156.860883873		84.6506397614		0.3		4147.88134831		0.4353
0 4 14			-0.0984522148978			156.762431658		84.7490919763		0.3		4237.45459882		1.2337
1 5 9			0.731169042237			157.493600701		83.2867538918		0.3		4247.62444848		0.4394
2 4 4			0.368732302114			157.862333003		82.5492892876		0.3		4292.56304296		0.8182
2 4 6			0.358051092852			158.220384096		81.8331871019		0.3		4337.1589164		0.785
6 4 4			0.556370370991			158.776754467		80.7204463599		0.3		4358.90410344		0.6669
1 5 5			-0.248044067415			158.528710399		80.9684904273		0.3		4453.2669735		1.8923
0 2 12			0.633141808233			159.161852207		79.7022068109		0.3		4463.32358141		0.3827
2 2 16			0.00276604101501			159.164618248		79.6966747289		0.3		4542.71045954		1.1693
2 0 12			0.605948584008			159.770566832		78.4847775608		0.3		4552.11709853		0.8079
0 4 6			-5.23059571598			154.539971117		83.7153732768		0.3		4939.20702333		3.7688
1 3 3			0.313736220347			154.853707337		83.0879008361		0.3		4985.27405017		0.7045
4 4 12			-0.222669351981			154.631037985		83.3105701881		0.3		5081.94478147		1.9475
1 5 11			-1.18933491636			153.441703069		84.4999051045		0.3		5238.99411648		1.8219
