HKL Value		Reward			TotalReward	Chi Squared Value	Z Coordinate Approximation		dx
1 3 15			0.415880367834			-290.344908391		78.2010992603		0.355407256069
7 3 3			0.427586868577			-289.917321523		77.3459255232		0.355407256069
5 5 1			0.325008252399			-289.592313271		76.6959090184		0.355407256069
3 3 13			0.409736771322			-289.182576499		75.8764354757		0.355427661557
0 0 20			-22.3210064314			-311.503582931		98.1974419072		0.365246637426
1 5 11			-1.14336508818			-312.646948019		99.3408069953		0.36529648424
2 0 0			0.513702502078			-312.133245517		98.3134019912		0.36529648424
2 2 4			0.506640726262			-311.62660479		97.3001205387		0.36529648424
0 0 16			-12.2855210905			-323.912125881		109.585641629		0.363566357289
7 1 5			-0.361354018969			-324.2734799		109.946995648		0.363455897415
1 3 11			0.169204135817			-324.104275764		109.608587376		0.363455897415
6 0 10			0.383883237633			-323.720392526		108.840820901		0.363539606122
0 6 4			0.125104285135			-323.595288241		108.590612331		0.363521027912
4 2 2			0.487925469448			-323.107362772		107.614761392		0.363521027912
6 0 0			0.251128964141			-322.856233808		107.112503464		0.363521027912
2 4 14			0.448664795592			-322.407569012		106.215173873		0.363521027912
0 0 2			0.495918002913			-321.911651009		105.223337867		0.363521027912
1 1 1			0.491609285794			-321.420041723		104.240119295		0.363521027912
0 4 2			0.475624694268			-320.944417029		103.288869907		0.363521027912
0 0 12			0.155612963323			-320.788804066		102.97764398		0.363646674861
4 4 0			-1.07949039777			-321.868294464		104.057134378		0.363646674861
3 1 13			0.207523551606			-321.660770912		103.642087275		0.363443404473
3 7 5			-1.02236011762			-322.68313103		104.664447392		0.363318726264
0 6 18			0.402444888025			-322.280686142		103.859557616		0.363346064238
6 4 6			0.302437906472			-321.978248235		103.254681803		0.363394820887
5 1 7			0.44815993657			-321.530088299		102.35836193		0.363394820887
6 0 4			0.0784667696359			-321.451621529		102.201428391		0.363380621933
4 0 12			-0.84170331558			-322.293324844		103.043131706		0.363605038969
4 4 12			-2.1250142376			-324.418339082		105.168145944		0.363932897731
2 4 12			0.437288859299			-323.981050223		104.293568225		0.363932897731
6 4 4			-0.550602628425			-324.531652851		104.844170854		0.363909438355
2 4 0			0.329976362539			-324.201676489		104.184218129		0.363909438355
5 3 3			0.405810583974			-323.795865905		103.372596961		0.363906972377
1 1 15			0.420019484966			-323.37584642		102.532557991		0.363901362946
0 4 0			0.263596928975			-323.112249491		102.005364133		0.363901362946
7 3 5			-1.06083761001			-324.173087101		103.066201743		0.363773458566
1 1 11			0.271111033285			-323.901976067		102.523979676		0.363773458566
3 1 1			0.403276082342			-323.498699985		101.717427512		0.363773458566
1 3 3			0.394127803915			-323.104572181		100.929171904		0.363773458566
0 0 18			-4.37976083487			-327.484333016		105.308932739		0.363459422452
1 1 9			0.403886204633			-327.080446811		104.501160329		0.363463044459
0 2 22			0.398354541493			-326.68209227		103.704451246		0.363462956884
0 6 12			0.392672963334			-326.289419307		102.91910532		0.363462956884
4 0 14			-0.831596625301			-327.121015932		103.750701945		0.363626277833
7 1 1			0.374084283911			-326.746931648		103.002533377		0.363626277833
