HKL Value		Reward	TotalReward	Chi Squared Value
4 6 0		-1	-51.5	64.9683152524
9 1 1		-1	-52.5	64.9945481561
6 4 2		-1	-53.5	65.0068393985
2 0 0		0.5	-53.0	64.8125733602
0 6 0		-1	-54.0	64.8942139118
6 4 2		-1	-55.0	64.9069587427
6 2 0		-1	-56.0	67.1468872361
3 1 1		-1	-57.0	67.3185668361
4 6 0		-1	-58.0	67.319076217
2 4 0		-1	-59.0	67.478189244
2 4 0		-1	-60.0	67.6407718801
4 4 0		-1	-61.0	70.2788268482
6 0 2		-1	-62.0	70.3154300976
0 4 0		-1	-63.0	74.701239279
1 3 1		-1	-64.0	74.8672691313
2 6 0		-1	-65.0	76.8742124424
3 1 1		-1	-66.0	77.0434215517
4 0 2		-1	-67.0	78.1959620753
0 4 0		-1	-68.0	83.4436325266
4 2 0		-1	-69.0	83.5869343803
3 5 1		0.5	-68.5	82.8463584646
6 4 0		-1	-69.5	82.846505034
0 2 0		-1	-70.5	83.364008889
4 6 0		-1	-71.5	83.3645074192
2 6 0		-1	-72.5	86.2249094583
5 1 1		-1	-73.5	86.3155372102
5 3 1		0.5	-73.0	85.5614973914
2 6 0		-1	-74.0	88.4176538294
7 1 1		0.5	-73.5	87.621571214
2 6 0		-1	-74.5	90.4622212849
1 1 1		0.5	-74.0	89.7649258189
6 2 0		-1	-75.0	92.6086705468
6 0 0		-1	-76.0	92.6600931801
6 0 0		-1	-77.0	92.7129440393
0 6 0		-1	-78.0	92.7886546006
2 4 0		-1	-79.0	92.9419868799
4 2 0		-1	-80.0	93.0828134752
4 0 0		-1	-81.0	96.7300261056
0 4 0		-1	-82.0	101.76234369
2 0 0		-1	-83.0	102.241278577
4 2 0		-1	-84.0	102.382337359
0 4 0		-1	-85.0	107.432555575
4 0 0		-1	-86.0	112.151779219
0 2 0		-1	-87.0	112.653445372
2 2 0		-1	-88.0	117.720003425
2 0 0		-1	-89.0	118.201658213
2 0 0		-1	-90.0	118.68708131
4 0 0		-1	-91.0	123.394727609
2 0 0		-1	-92.0	123.882565176
