HKL Value		Reward			TotalReward	Chi Squared Value	Z Coordinate Approximation		dx
5 3 5			-0.41			62.8		22.48		0.3	4.79	1.13	0.74	1.19	5.0	4.18
5 5 1			0.09			62.89		22.3		0.3	4.79	1.13	0.74	1.19	5.0	4.18
2 6 2			0.07			62.95		22.16		0.3	4.79	1.13	0.74	1.19	5.0	4.18
6 2 6			0.03			62.98		22.11		0.3	4.79	1.13	0.74	1.19	5.0	4.18
0 0 16			-0.09			62.89		22.2		0.3	4.79	1.13	0.74	1.19	5.0	4.18
2 0 6			-0.24			62.65		22.44		0.3	4.79	1.13	0.74	1.19	5.0	4.18
7 3 5			0.0			62.66		22.43		0.3	4.79	1.13	0.74	1.19	5.0	4.18
0 4 6			0.08			62.74		22.26		0.3	4.79	1.13	0.74	1.19	5.0	4.18
6 0 0			-0.02			62.72		22.29		0.3	4.79	1.13	0.74	1.19	5.0	4.18
2 4 0			0.04			62.76		22.21		0.3	4.79	1.13	0.74	1.19	5.0	4.18
0 2 18			0.16			62.92		21.88		0.3	4.79	1.13	0.74	1.19	5.0	4.18
1 7 1			0.12			63.04		21.64		0.3	4.79	1.13	0.74	1.19	5.0	4.18
0 2 12			0.09			63.13		21.45		0.3	4.79	1.13	0.74	1.19	5.0	4.18
2 2 2			-0.08			63.06		21.53		0.3	4.79	1.13	0.74	1.19	5.0	4.18
4 6 6			-0.06			63.0		21.59		0.3	4.79	1.13	0.74	1.19	5.0	4.18
6 0 4			-0.02			62.98		21.61		0.3	4.79	1.13	0.74	1.19	5.0	4.18
3 5 9			0.08			63.05		21.45		0.3	4.79	1.13	0.74	1.19	5.0	4.18
2 4 4			-0.29			62.76		21.75		0.3	4.79	1.13	0.74	1.19	5.0	4.18
4 4 0			-0.68			62.08		22.43		0.3	4.79	1.13	0.74	1.19	5.0	4.18
4 0 2			0.03			62.11		22.37		0.3	4.79	1.13	0.74	1.19	5.0	4.18
4 4 6			0.03			62.14		22.32		0.3	4.79	1.13	0.74	1.19	5.0	4.18
1 3 3			0.02			62.15		22.28		0.3	4.79	1.13	0.74	1.19	5.0	4.18
1 5 1			-0.04			62.11		22.32		0.3	4.79	1.13	0.74	1.19	5.0	4.18
4 0 0			-0.17			61.95		22.49		0.3	4.79	1.13	0.74	1.19	5.0	4.18
9 1 1			0.14			62.09		22.21		0.3	4.79	1.13	0.74	1.19	5.0	4.18
6 0 6			0.0			62.09		22.2		0.3	4.79	1.13	0.74	1.19	5.0	4.18
4 2 14			0.14			62.23		21.92		0.3	4.79	1.13	0.74	1.19	5.0	4.18
1 1 13			-0.81			61.42		22.74		0.3	4.79	1.13	0.74	1.19	5.0	4.18
7 3 3			-0.35			61.07		23.09		0.3	4.79	1.13	0.74	1.19	5.0	4.18
1 5 9			0.09			61.16		22.91		0.3	4.79	1.13	0.74	1.19	5.0	4.18
1 1 15			0.06			61.21		22.8		0.3	4.79	1.13	0.74	1.19	5.0	4.18
5 1 13			0.07			61.28		22.66		0.3	4.79	1.13	0.74	1.19	5.0	4.18
2 6 4			-0.18			61.1		22.83		0.3	4.79	1.13	0.74	1.19	5.0	4.18
0 6 10			0.11			61.22		22.61		0.3	4.79	1.13	0.74	1.19	5.0	4.18
0 4 10			-5.56			55.66		28.17		0.3	4.79	1.13	0.74	1.19	5.0	4.18
0 6 4			0.03			55.69		28.11		0.3	4.79	1.13	0.74	1.19	5.0	4.18
4 4 2			0.08			55.77		27.95		0.3	4.79	1.13	0.74	1.19	5.0	4.18
1 1 1			0.02			55.79		27.9		0.3	4.79	1.13	0.74	1.19	5.0	4.18
2 4 8			-3.01			52.78		30.91		0.3	4.79	1.13	0.74	1.19	5.0	4.18
5 5 5			0.02			52.8		30.88		0.3	4.79	1.13	0.74	1.19	5.0	4.18
4 2 0			0.08			52.88		30.72		0.3	4.79	1.13	0.74	1.19	5.0	4.18
0 6 6			0.04			52.92		30.63		0.3	4.79	1.13	0.74	1.19	5.0	4.18
4 2 10			0.13			53.05		30.38		0.3	4.79	1.13	0.74	1.19	5.0	4.18
