HKL Value		Reward	TotalReward	Chi Squared Value	Z Coordinate Approximation
5 5 3			0.5	4.5	34.2433396171	0.29088287509
7 3 3			0.5	5.0	34.1840452699	0.290903046524
2 6 4			0.5	5.5	33.8974859284	0.290892503218
3 1 3			0.5	6.0	33.8723180317	0.290910544555
0 4 4			0.5	6.5	33.5946996737	0.29090204196
1 3 3			0.5	7.0	33.5629915459	0.290920406156
6 0 12			0.5	7.5	33.2833005576	0.290920406156
2 0 8			0.5	8.0	33.1106962425	0.290791059289
0 6 4			0.5	8.5	33.0125148116	0.290768148757
6 0 4			0.5	9.0	32.9138593914	0.290749943592
0 2 8			0.5	9.5	32.7351947172	0.290636133344
5 1 3			-1	8.5	32.7390331416	0.290657418852
1 5 3			0.5	9.0	32.7282867724	0.290676662968
2 2 4			0.5	9.5	32.4848954712	0.290676662968
4 4 4			0.5	10.0	32.2436867432	0.290653775425
0 2 22			-1	9.0	32.6112750525	0.290634549037
1 7 5			-1	8.0	32.9603939449	0.290624766617
2 4 12			0.5	8.5	32.7248344518	0.290624766617
2 4 4			-1	7.5	32.7891780926	0.290605184581
4 2 12			0.5	8.0	32.5580168399	0.290604181406
0 2 6			-1	7.0	32.7900764132	0.290681139066
2 0 6			-1	6.0	33.0010434471	0.290761367319
1 7 7			-1	5.0	34.8380897496	0.290995705518
0 0 8			-1	4.0	35.7090540859	0.290954578465
1 7 3			0.5	4.5	35.7073735466	0.290976925462
1 3 7			-1	3.5	38.0451636989	0.291301300584
0 4 14			0.5	4.0	37.9974115463	0.291208324543
5 3 7			-1	3.0	40.1022199319	0.29153424552
7 1 7			-1	2.0	42.1378426114	0.291923339388
3 5 5			-1	1.0	42.5860896628	0.291923339388
7 1 5			-1	0.0	42.8270978242	0.291913799963
0 6 12			0.5	0.5	42.5327995839	0.291913799963
1 5 5			-1	-0.5	42.9497201172	0.291913799963
5 3 5			-1	-1.5	43.3820611047	0.291903555117
5 5 5			-1	-2.5	43.6119917177	0.291892429051
3 1 7			-1	-3.5	45.7397646988	0.292400414169
1 1 7			-1	-4.5	47.7218365898	0.293029916596
5 5 7			0.5	-4.0	30.6846268892	0.31924976189
5 1 7			-1	-5.0	30.7242201032	0.319387774266
3 5 7			0.5	-4.5	30.7196387484	0.319505302825
3 5 3			0.5	-4.0	30.7163587555	0.319505302825
3 1 5			-1	-5.0	31.4665797619	0.319519364181
5 1 5			-1	-6.0	31.9050632899	0.319529622921
3 3 11			-1	-7.0	33.0386810075	0.319529663032
2 0 0			-1	-8.0	33.1229760627	0.319529663032
3 3 7			-1	-9.0	33.241220258	0.319706744871
4 0 14			-1	-10.0	33.6855500366	0.319706744871
0 0 12			-1	-11.0	33.7897036265	0.31980405169
2 2 14			-1	-12.0	34.1021131586	0.31980405169
6 2 2			-1	-13.0	34.5219920793	0.319810933103
0 2 0			-1	-14.0	34.6009878136	0.319810933103
4 4 2			-1	-15.0	34.9991108076	0.319810933103
0 4 8			-1	-16.0	35.993343901	0.319828083589
2 2 8			-1	-17.0	36.8979995398	0.319833850931
6 2 6			-1	-18.0	37.4758744867	0.319872594514
1 3 5			-1	-19.0	38.1437668238	0.319885106487
4 2 4			-1	-20.0	38.2182728782	0.319885106487
4 4 6			-1	-21.0	38.9387519664	0.319923258734
1 3 11			-1	-22.0	40.189648275	0.319923258734
0 0 2			-1	-23.0	40.423794856	0.319923258734
6 2 8			-1	-24.0	41.2673938358	0.319943019412
3 1 11			-1	-25.0	42.4501466813	0.319943019412
2 2 6			-1	-26.0	44.0686046462	0.319998028339
1 1 17			-1	-27.0	44.9317389668	0.31995945962
0 2 4			-1	-28.0	45.1908908779	0.319959704124
6 2 0			-1	-29.0	46.5148525077	0.319959704124
4 0 6			-1	-30.0	47.6594702993	0.320007926229
4 4 8			-1	-31.0	48.4294957084	0.320007926229
2 6 2			-1	-32.0	48.7226641441	0.320020524385
5 1 11			-1	-33.0	49.3928363149	0.320020524385
2 6 8			-1	-34.0	50.1225614425	0.320036726183
1 1 11			-1	-35.0	51.578447816	0.320046535889
1 5 11			-1	-36.0	52.2274933555	0.320046535889
4 0 8			-1	-37.0	53.0637007378	0.320060428919
1 1 5			-1	-38.0	53.7970955443	0.320082726027
0 4 6			-1	-39.0	54.8181991214	0.320124861683
2 6 6			-1	-40.0	55.239232644	0.320162584894
4 0 0			-1	-41.0	57.4423787541	0.320162584894
5 3 11			-1	-42.0	58.0205184714	0.320163347764
0 4 2			-1	-43.0	58.2668360958	0.320171955331
2 0 4			-1	-44.0	58.4324939416	0.320171955331
2 2 0			-1	-45.0	61.4646790957	0.320171955331
3 5 11			-1	-46.0	62.0218101058	0.320182929008
2 6 0			-1	-47.0	63.1057725241	0.320182929008
