HKL Value		Reward	TotalReward	Chi Squared Value	Z Coordinate Approximation
4 0 10			0	0		0		0.3
4 2 2			-1	-1		2.26003343806		0.22142419832
0 0 10			0.5	-0.5		1.1301874345		0.221458170466
6 0 10			0.5	0.0		0.753546222919		0.221473523861
2 6 10			0.5	0.5		0.565161828449		0.221473441333
6 4 0			0.5	1.0		0.454720963059		0.221473441333
3 1 1			-1	0.0		0.46365812132		0.221425763262
6 0 8			-1	-1.0		0.684763464144		0.221649490366
1 1 3			-1	-2.0		3.24771265944		0.221359663202
0 2 14			0.5	-1.5		2.88733541201		0.221329902892
0 6 10			0.5	-1.0		2.60091941485		0.221403939137
4 6 0			0.5	-0.5		2.36826737796		0.221404640127
0 6 8			0.5	0.0		2.35746846241		0.221580950505
2 2 10			0.5	0.5		2.17983794726		0.221474611802
3 5 5			-1	-0.5		3.72693541364		0.220949135924
0 4 10			0.5	0.0		3.4823880219		0.221044773546
2 0 14			0.5	0.5		3.26919708425		0.22098713063
6 2 10			0.5	1.0		3.08110224633		0.221073261227
4 2 10			0.5	1.5		2.92289248811		0.220963844413
2 4 10			0.5	2.0		2.78852087099		0.220833204558
6 4 2			0.5	2.5		2.67253709784		0.220820345158
4 6 2			0.5	3.0		2.55342378721		0.220813308148
4 4 10			0.5	3.5		2.43923772753		0.220763515343
1 3 9			-1	2.5		3.89597454759		0.220556072273
3 1 9			-1	1.5		4.83707297764		0.220349265866
0 0 20			0.5	2.0		4.69273356164		0.220208622172
1 3 15			0.5	2.5		4.64312845478		0.219948886679
3 1 15			0.5	3.0		4.58083493498		0.219670718991
0 6 2			0.5	3.5		4.44376814044		0.219679039717
2 4 2			0.5	4.0		4.39028167338		0.219702788548
2 4 14			0.5	4.5		4.29634248253		0.219511471911
2 0 16			0.5	5.0		4.28241802607		0.219479259735
4 2 14			0.5	5.5		4.20151983766		0.219308551056
0 6 16			0.5	6.0		4.10576945067		0.219291587732
3 3 9			-1	5.0		4.51560861333		0.21902939467
6 0 0			-1	4.0		4.51988984864		0.21902939467
6 0 2			0.5	4.5		4.40777520317		0.21903587817
0 6 14			0.5	5.0		4.37039034244		0.218842287809
3 5 9			-1	4.0		4.41221531863		0.218701783028
2 0 10			0.5	4.5		4.35790885804		0.218445183371
3 3 15			0.5	5.0		4.2517991347		0.218365853507
0 2 16			-1	4.0		4.27252051725		0.21837545281
1 5 9			-1	3.0		4.57166793012		0.218127530562
0 2 10			0.5	3.5		4.51670403718		0.217917438614
5 3 9			0.5	4.0		4.50991876304		0.217810331276
5 1 9			-1	3.0		4.70880501065		0.217583142527
1 1 9			-1	2.0		5.81136010607		0.216749560367
0 0 18			-1	1.0		8.14632560568		0.213752204123
0 6 18			-1	0.0		10.334616396		0.211210420602
0 6 0			0.5	0.5		10.2563307705		0.211210420602
0 2 18			-1	-0.5		11.2609073353		0.210165039791
3 3 13			0.5	0.0		11.0560632969		0.210119885477
9 1 1			0.5	0.5		11.0184749243		0.210133447735
4 4 12			-1	-0.5		12.0779956189		0.210157412618
2 4 6			-1	-1.5		12.3825977328		0.210103310904
1 1 13			0.5	-1.0		12.1594160697		0.210088630586
4 2 8			0.5	-0.5		11.9440455182		0.210095302358
1 3 13			0.5	0.0		11.735520573		0.210085932871
2 0 2			-1	-1.0		11.7716014939		0.210085932871
2 4 8			0.5	-0.5		11.5741356253		0.210097913806
0 4 20			0.5	0.0		11.5123676067		0.210307536414
3 1 13			0.5	0.5		11.3249572203		0.210295848861
5 1 13			0.5	1.0		11.1452463723		0.210284981725
1 5 13			0.5	1.5		10.968576252		0.210281739979
7 3 1			0.5	2.0		10.8965817534		0.210281739979
0 6 12			0.5	2.5		10.731704075		0.210281739979
3 7 1			0.5	3.0		10.6635571539		0.210292671779
5 5 1			0.5	3.5		10.6156839655		0.210302041982
3 7 5			0.5	4.0		10.4653438553		0.210299029447
7 3 5			0.5	4.5		10.3171055682		0.210299029447
1 1 15			0.5	5.0		10.1934176274		0.21026234849
7 1 1			0.5	5.5		10.0704346354		0.21026234849
4 0 12			-1	4.5		11.3019530569		0.210287942234
5 5 5			0.5	5.0		11.1708267368		0.210285462727
4 2 0			-1	4.0		11.1929620221		0.210285462727
0 4 12			-1	3.0		12.3660552885		0.210303683262
0 4 18			-1	2.0		13.3628339653		0.209479701115
5 3 11			-1	1.0		15.0085651599		0.209360931117
1 7 1			0.5	1.5		14.8302189582		0.209360931117
2 4 0			0.5	2.0		14.8172962779		0.209360931117
5 1 1			0.5	2.5		14.6422701203		0.209367283868
0 4 16			-1	1.5		14.9513417053		0.209243704275
1 5 1			0.5	2.0		14.7770274134		0.209243704275
2 2 16			-1	1.0		15.1909103352		0.209107165237
0 0 16			-1	0.0		15.6475608527		0.208951044329
1 7 5			0.5	0.5		15.519829462		0.208943140957
7 1 5			0.5	1.0		15.390939608		0.208940159905
3 3 1			0.5	1.5		15.2203031312		0.208939361265
3 5 1			0.5	2.0		15.0535410478		0.208939361265
4 6 6			0.5	2.5		14.9680195984		0.208904514084
6 4 6			0.5	3.0		14.8840323799		0.20887234005
0 6 6			-1	2.0		14.8947909877		0.20883394078
5 3 1			0.5	2.5		14.7367371521		0.20883394078
5 1 5			-1	1.5		14.7726095086		0.208820123539
0 2 8			0.5	2.0		14.7435536018		0.208929030643
0 2 20			0.5	2.5		14.5995013207		0.208928980994
2 0 8			0.5	3.0		14.5819944592		0.209041852549
0 2 12			0.5	3.5		14.5471742464		0.209041852549
6 0 6			-1	2.5		14.5551909048		0.209008011773
2 0 12			0.5	3.0		14.5138968264		0.209005723728
0 2 2			-1	2.0		14.5150073239		0.209009214751
4 6 4			-1	1.0		14.5368958685		0.209027305637
6 4 4			-1	0.0		14.5635530352		0.20904435764
1 3 1			0.5	0.5		14.4230279555		0.209044314582
0 0 22			-1	-0.5		15.130003522		0.209178348233
2 2 12			-1	-1.5		16.2211809412		0.209188623379
0 0 4			0.5	-1.0		16.075565937		0.209197926817
4 2 6			-1	-2.0		16.1651665644		0.209154496911
1 1 1			0.5	-1.5		16.0203995702		0.209148851001
0 0 14			-1	-2.5		16.0232796999		0.209195653277
4 2 12			0.5	-2.0		15.8961739873		0.209195902423
0 4 4			0.5	-1.5		15.7627239533		0.209209241244
2 6 4			0.5	-1.0		15.6301715005		0.209209241244
5 3 5			-1	-2.0		15.6342911492		0.209209241244
4 0 4			0.5	-1.5		15.508734216		0.209209241244
2 2 4			0.5	-1.0		15.3899875745		0.209229512432
4 4 4			0.5	-0.5		15.2715207383		0.209237696722
0 6 4			-1	-1.5		15.3214780948		0.209262333918
6 0 4			-1	-2.5		15.368451549		0.209277432269
6 2 4			0.5	-2.0		15.2466877064		0.209277432269
1 5 5			-1	-3.0		15.2727296828		0.209277432269
2 4 12			0.5	-2.5		15.1638668167		0.209277432269
2 2 0			-1	-3.5		20.365053146		0.209277432269
6 0 12			0.5	-3.0		20.1994838185		0.209277432269
3 3 5			-1	-4.0		20.2286314804		0.209256094411
5 5 3			-1	-5.0		20.4549851375		0.209254859114
1 7 7			0.5	-4.5		20.3116494872		0.209248806757
1 3 3			-1	-5.5		20.5502956229		0.209241888051
7 3 3			-1	-6.5		20.8188413279		0.209241888051
5 3 7			0.5	-6.0		20.6712575375		0.209241888051
3 1 3			-1	-7.0		20.911163908		0.209232340494
1 1 7			0.5	-6.5		20.7639227114		0.209227370624
3 1 7			0.5	-6.0		20.6178830091		0.209227370624
1 5 7			0.5	-5.5		20.472880495		0.209227370624
3 7 3			-1	-6.5		20.7436417355		0.209224949919
5 1 7			0.5	-6.0		20.599852791		0.209224949919
3 5 7			0.5	-5.5		20.4621690974		0.209224949919
1 3 7			0.5	-5.0		20.3241893904		0.209224949919
1 3 11			-1	-6.0		21.7785732604		0.209071653531
3 3 7			0.5	-5.5		21.6269649012		0.209071653531
7 1 7			0.5	-5.0		21.4850146938		0.209071653531
5 5 7			0.5	-4.5		21.3396301735		0.209071653531
3 3 3			-1	-5.5		21.5813218707		0.209061121915
2 2 14			-1	-6.5		21.6068433036		0.209121125261
0 2 22			-1	-7.5		22.0108070727		0.20914206433
